YEAR DOY HR    1     2     3   4  5     6     7 
2022  11 21   2.3   3.8  361.  0  51     1  96.7
2022  11 22   2.0   4.6  361.  0  51     3  96.7
2022  11 23   2.3   5.2  360.  0  51     5  96.7
2022  12  0   1.7   6.3  357.  3  76     8  99.8
2022  12  1   1.3   7.8  351.  3  76     7  99.8
2022  12  2   0.2   8.9  354.  3  76     4  99.8
2022  12  3   2.7   7.7  363. 10  76    -1  99.8
2022  12  4   2.5   7.3  369. 10  76    -2  99.8
2022  12  5   3.8   7.6  374. 10  76     1  99.8
2022  12  6   3.0   7.4  366.  0  76     1  99.8
2022  12  7   3.6   7.3  374.  0  76     1  99.8
2022  12  8   3.5   8.5  374.  0  76     3  99.8
2022  12  9   3.4   7.6  377.  0  76     5  99.8
2022  12 10   2.9   6.1  375.  0  76     5  99.8
2022  12 11   2.3   6.1  358.  0  76     5  99.8
2022  12 12   1.7   5.8  357.  7  76     6  99.8
2022  12 13   1.8   6.2  362.  7  76     5  99.8
2022  12 14   1.5   6.5  371.  7  76     2  99.8
2022  12 15   0.6   4.2  386. 10  76    -3  99.8
2022  12 16   1.6   4.4  376. 10  76    -4  99.8
2022  12 17  -0.9   4.2  379. 10  76    -4  99.8
2022  12 18   2.4   3.8  370. 13  76    -4  99.8
2022  12 19   0.9   3.8  373. 13  76    -3  99.8
2022  12 20   3.1   4.5  379. 13  76     0  99.8
2022  12 21   2.9   4.9  382. 10  76     2  99.8
2022  12 22  -1.5   5.5  382. 10  76     4  99.8
2022  12 23   1.3   4.9  370. 10  76     2  99.8
2022  13  0   2.4   5.6  381. 10  85     1 102.1
2022  13  1   3.2   5.1  376. 10  85    -1 102.1
2022  13  2   3.1   4.4  364. 10  85    -2 102.1
2022  13  3   4.3   3.6  354.  0  85    -3 102.1
2022  13  4   3.0   3.7  352.  0  85    -3 102.1
2022  13  5   3.3   3.0  347.  0  85    -4 102.1
2022  13  6   3.0   2.9  342.  0  85    -2 102.1
2022  13  7   2.2   3.7  350.  0  85    -1 102.1
2022  13  8   2.7   3.1  355.  0  85     1 102.1
2022  13  9   2.9   1.9  334.  3  85     2 102.1
2022  13 10   1.9   2.6  346.  3  85     2 102.1
2022  13 11   0.9   2.6  345.  3  85     1 102.1
2022  13 12   1.3   2.7  344.  3  85     0 102.1
2022  13 13   0.9   3.0  344.  3  85    -1 102.1
2022  13 14   1.3   3.0  334.  3  85    -4 102.1
2022  13 15   1.7   3.3  339.  3  85    -5 102.1
2022  13 16   0.2   3.5  336.  3  85    -3 102.1
2022  13 17  -1.2   3.6  334.  3  85    -2 102.1
2022  13 18  -1.6   3.7  328. 10  85    -3 102.1
2022  13 19  -2.2   3.8  325. 10  85    -3 102.1
2022  13 20   1.2   4.3  331. 10  85    -2 102.1
2022  13 21   4.2   5.4  346. 10  85     2 102.1
2022  13 22   3.2   5.6  352. 10  85     5 102.1
2022  13 23   5.8   4.5  356. 10  85     6 102.1
2022  14  0   6.1   3.7  353.  0  98     3 106.6
2022  14  1   5.9   3.9  349.  0  98     1 106.6
2022  14  2   5.5   4.4  347.  0  98     1 106.6
2022  14  3   3.3   4.0  344.  0  98     2 106.6
2022  14  4   2.4   4.6  353.  0  98    -1 106.6
2022  14  5   1.5   5.8  352.  0  98     0 106.6
2022  14  6  -0.8   6.1  348.  3  98     2 106.6
2022  14  7   2.0   6.0  347.  3  98     2 106.6
2022  14  8   6.4   7.2  344.  3  98     6 106.6
2022  14  9   8.1   7.1  346. 10  98     8 106.6
2022  14 10   6.9   7.1  347. 10  98     9 106.6
2022  14 11   6.6  10.0  350. 10  98    14 106.6
2022  14 12   3.5   7.9  353. 20  98    12 106.6
2022  14 13  -1.3  11.6  354. 20  98    12 106.6
2022  14 14   0.2  10.3  358. 20  98     5 106.6
2022  14 15  -2.1  13.4  359. 27  98     4 106.6
2022  14 16  -6.3  14.6  371. 27  98    -3 106.6
2022  14 17  -8.7  11.5  366. 27  98   -17 106.6
2022  14 18 -10.4  12.3  373. 40  98   -28 106.6
2022  14 19 -11.2  12.2  372. 40  98   -43 106.6
2022  14 20 -11.1  13.9  372. 40  98   -51 106.6
2022  14 21 -12.1  16.3  368. 57  98   -73 106.6
2022  14 22  -9.4  16.7  386. 57  98   -91 106.6
2022  14 23   6.5  15.0  423. 57  98   -88 106.6
2022  15  0  -1.4  11.3  425. 43  95   -73 111.8
2022  15  1  -1.6  10.3  450. 43  95   -69 111.8
2022  15  2  -0.2   9.9  462. 43  95   -66 111.8
2022  15  3  -4.2   9.8  466. 37  95   -54 111.8
2022  15  4  -0.2  11.3  463. 37  95   -53 111.8
2022  15  5   0.0  13.3  447. 37  95   -43 111.8
2022  15  6  -0.4   9.4  463. 23  95   -51 111.8
2022  15  7  -1.0   8.2  462. 23  95   -53 111.8
2022  15  8  -0.1   8.6  451. 23  95   -54 111.8
2022  15  9   0.4   8.5  439. 17  95   -55 111.8
2022  15 10  -0.2   9.0  437. 17  95   -55 111.8
2022  15 11  -0.7  10.0  441. 17  95   -47 111.8
2022  15 12  -0.4  10.9  446. 27  95   -36 111.8
2022  15 13  -3.0  12.8  465. 27  95   -25 111.8
2022  15 14  -2.0  11.3  472. 27  95   -21 111.8
2022  15 15   2.9   7.1  519. 30  95   -22 111.8
2022  15 16   3.1   6.9  546. 30  95   -21 111.8
2022  15 17   4.0   7.8  557. 30  95   -19 111.8
2022  15 18  -0.1   7.2  555. 40  95   -24 111.8
2022  15 19   5.2   5.9  566. 40  95   -31 111.8
2022  15 20   2.6   4.9  567. 40  95   -28 111.8
2022  15 21  -2.1   5.0  564. 47  95   -33 111.8
2022  15 22   0.7   4.8  558. 47  95   -39 111.8
2022  15 23  -0.6   5.0  562. 47  95   -36 111.8
2022  16  0  -0.2   4.8  577. 37 102   -41 115.6
2022  16  1   1.7   2.6  610. 37 102   -50 115.6
2022  16  2   0.7   2.6  609. 37 102   -50 115.6
2022  16  3   2.6   2.4  620. 33 102   -49 115.6
2022  16  4   3.2   2.5  598. 33 102   -44 115.6
2022  16  5   0.3   2.5  573. 33 102   -44 115.6
2022  16  6   1.8   2.5  568. 23 102   -46 115.6
2022  16  7   1.2   2.8  580. 23 102   -44 115.6
2022  16  8  -0.2   2.9  533. 23 102   -37 115.6
2022  16  9  -0.9   3.8  545. 27 102   -43 115.6
2022  16 10   0.1   3.9  550. 27 102   -42 115.6
2022  16 11  -2.2   4.2  545. 27 102   -34 115.6
2022  16 12  -1.7   4.0  532. 23 102   -31 115.6
2022  16 13  -0.4   4.4  545. 23 102   -27 115.6
2022  16 14   1.9   4.3  543. 23 102   -30 115.6
2022  16 15   0.6   4.8  548. 27 102   -28 115.6
2022  16 16  -1.3   4.6  543. 27 102   -26 115.6
2022  16 17   0.3   4.0  545. 27 102   -28 115.6
2022  16 18   0.6   3.8  540. 43 102   -25 115.6
2022  16 19   0.0   5.3  572. 43 102   -17 115.6
2022  16 20   2.7   5.9  599. 43 102   -23 115.6
2022  16 21   1.1   4.9  586. 30 102   -22 115.6
2022  16 22   2.3   4.4  610. 30 102   -21 115.6
2022  16 23  -0.7   3.6  596. 30 102   -24 115.6
2022  17  0   0.8   3.4  603. 30  80   -24 109.9
2022  17  1   2.2   3.3  619. 30  80   -23 109.9
2022  17  2   2.6   4.0  594. 30  80   -18 109.9
2022  17  3   2.1   3.8  575.  7  80   -18 109.9
2022  17  4   2.2   3.8  558.  7  80   -15 109.9
2022  17  5   2.4   4.1  544.  7  80   -17 109.9
2022  17  6   2.3   3.8  541. 10  80   -17 109.9
2022  17  7   2.2   3.3  545. 10  80   -18 109.9
2022  17  8  -0.1   3.5  531. 10  80   -24 109.9
2022  17  9  -0.8   3.8  528. 20  80   -24 109.9
2022  17 10   0.7   3.9  532. 20  80   -20 109.9
2022  17 11   0.4   3.6  543. 20  80   -20 109.9
2022  17 12   3.0   2.8  557. 23  80   -24 109.9
2022  17 13   3.0   3.7  553. 23  80   -22 109.9
2022  17 14  -1.7   4.0  514. 23  80   -20 109.9
2022  17 15  -1.6   3.6  503. 27  80   -21 109.9
2022  17 16  -1.5   2.6  505. 27  80   -25 109.9
2022  17 17  -2.2   2.6  501. 27  80   -26 109.9
2022  17 18  -2.7   2.6  500. 27  80   -27 109.9
2022  17 19  -2.1   2.8  494. 27  80   -31 109.9
2022  17 20  -0.5   3.0  515. 27  80   -30 109.9
2022  17 21   1.7   3.4  500. 23  80   -27 109.9
2022  17 22   0.1   3.4  528. 23  80   -18 109.9
2022  17 23  -2.0   4.3  544. 23  80   -17 109.9
2022  18  0  -3.1   3.9  555. 50  66   -32 110.8
2022  18  1   0.6   2.9  590. 50  66   -29 110.8
2022  18  2   0.7   2.5  583. 50  66   -24 110.8
2022  18  3  -0.8   2.5  580. 33  66   -25 110.8
2022  18  4  -0.7   2.6  564. 33  66   -27 110.8
2022  18  5  -2.1   2.8  567. 33  66   -23 110.8
2022  18  6  -0.9   2.4  590. 30  66   -23 110.8
2022  18  7  -1.7   1.8  582. 30  66   -30 110.8
2022  18  8  -1.6   1.9  590. 30  66   -27 110.8
2022  18  9  -1.9   2.0  590. 20  66   -25 110.8
2022  18 10  -1.7   1.7  591. 20  66   -27 110.8
2022  18 11  -0.1   1.7  602. 20  66   -26 110.8
2022  18 12  -1.6   1.8  601. 23  66   -16 110.8
2022  18 13  -1.7   1.6  623. 23  66   -17 110.8
2022  18 14  -1.2   1.6  608. 23  66   -22 110.8
2022  18 15  -1.5   1.7  594. 30  66   -15 110.8
2022  18 16  -1.8   1.4  580. 30  66   -19 110.8
2022  18 17  -2.2   1.4  580. 30  66   -24 110.8
2022  18 18  -1.7   1.5  591. 27  66   -24 110.8
2022  18 19  -1.4   1.5  597. 27  66   -25 110.8
2022  18 20  -2.0   1.4  599. 27  66   -26 110.8
2022  18 21  -2.4   1.5  597. 30  66   -32 110.8
2022  18 22  -2.8   1.5  593. 30  66   -34 110.8
2022  18 23  -1.8   1.9  610. 30  66   -31 110.8
2022  19  0  -3.5   3.1  661. 53  58   -30 101.9
2022  19  1  -4.3   3.1  652. 53  58   -34 101.9
2022  19  2  -6.1   3.4  649. 53  58   -41 101.9
2022  19  3   4.8   4.4  661. 50  58   -44 101.9
2022  19  4   3.3   5.2  649. 50  58   -32 101.9
2022  19  5  -0.5   3.4  631. 50  58   -42 101.9
2022  19  6   3.0   3.9  678. 33  58   -39 101.9
2022  19  7   2.3   3.3  696. 33  58   -34 101.9
2022  19  8   1.7   4.0  676. 33  58   -30 101.9
2022  19  9  -0.1   5.2  643. 30  58   -31 101.9
2022  19 10   1.1   3.9  623. 30  58   -37 101.9
2022  19 11   0.0   2.5  613. 30  58   -34 101.9
2022  19 12  -0.5   2.6  629. 30  58   -30 101.9
2022  19 13   1.2   3.2  647. 30  58   -22 101.9
2022  19 14   0.9   3.9  639. 30  58   -20 101.9
